circuit_id,n_qubits,depth,ansatz,seed,mean_gradient_magnitude,gradient_variance,near_zero_percentage,n_trainable_parameters,n_gates
C0001,2,1,linear,42,0.16125256774050514,0.10031899204621006,25.0,4,5
C0002,2,1,linear,43,0.24292816978139892,0.11409528754378648,25.0,4,5
C0003,2,1,linear,44,0.17386344561163813,0.1070003343031313,25.0,4,5
C0004,2,1,linear,45,0.12717353268851195,0.04070982486135253,25.0,4,5
C0005,2,1,linear,46,0.19578879416964343,0.07958581532350509,25.0,4,5
C0006,2,1,ring,42,0.16125256774050514,0.10031899204621006,25.0,4,5
C0007,2,1,ring,43,0.24292816978139892,0.11409528754378648,25.0,4,5
C0008,2,1,ring,44,0.17386344561163813,0.1070003343031313,25.0,4,5
C0009,2,1,ring,45,0.12717353268851195,0.04070982486135253,25.0,4,5
C0010,2,1,ring,46,0.19578879416964343,0.07958581532350509,25.0,4,5
C0011,2,2,linear,42,0.2477003437927026,0.13395987635775153,18.75,8,10
C0012,2,2,linear,43,0.16044693404737914,0.056337906210120955,18.75,8,10
C0013,2,2,linear,44,0.20632730437740265,0.1004778335125851,12.5,8,10
C0014,2,2,linear,45,0.20335157035072915,0.11078784035662481,12.5,8,10
C0015,2,2,linear,46,0.22765252645385375,0.07779688264296777,12.5,8,10
C0016,2,2,ring,42,0.2477003437927026,0.13395987635775153,18.75,8,10
C0017,2,2,ring,43,0.16044693404737914,0.056337906210120955,18.75,8,10
C0018,2,2,ring,44,0.20632730437740265,0.1004778335125851,12.5,8,10
C0019,2,2,ring,45,0.20335157035072915,0.11078784035662481,12.5,8,10
C0020,2,2,ring,46,0.22765252645385375,0.07779688264296777,12.5,8,10
C0021,2,3,linear,42,0.27548481871112723,0.10834426902788415,8.333333333333332,12,15
C0022,2,3,linear,43,0.1733556568110867,0.0739357462444514,12.5,12,15
C0023,2,3,linear,44,0.34193903337528236,0.177491181322645,8.333333333333332,12,15
C0024,2,3,linear,45,0.15527533395971804,0.04942063451527018,8.333333333333332,12,15
C0025,2,3,linear,46,0.2925597328810401,0.07214962061911799,8.333333333333332,12,15
C0026,2,3,ring,42,0.27548481871112723,0.10834426902788415,8.333333333333332,12,15
